study_hours,attendance,sleep_hours,internet_usage,assignments_completed,previous_score,exam_score,placement_status
10,55,8,2,3,83.0,100.0,Placed
2,63,8,9,11,91.0,82.44,Placed
2,83,8,4,16,91.0,99.47,Placed
6,60,5,10,12,74.0,100.0,Placed
9,75,5,11,3,54.0,77.28,Placed
1,79,6,5,5,71.0,76.6,Placed
9,78,7,11,6,51.0,94.22,Placed
9,86,6,5,7,86.0,90.47,Placed
9,45,8,4,1,38.0,99.53,Placed
5,44,9,6,8,87.0,72.27,Placed
9,53,8,1,9,84.0,100.0,Placed
11,92,4,2,18,52.0,100.0,Placed
4,84,9,4,0,62.0,71.95,Placed
2,81,9,4,15,84.0,99.31,Placed
6,89,6,8,17,50.0,90.88,Placed
4,100,8,9,7,77.0,100.0,Placed
6,43,8,4,9,42.0,84.31,Placed
3,47,7,6,10,95.0,79.69,Placed
6,63,4,4,16,78.0,92.93,Placed
2,50,6,4,6,52.0,54.35,Not Placed
2,56,5,11,2,88.0,50.75,Not Placed
9,89,6,9,6,84.0,94.51,Placed
7,60,9,4,5,63.0,100.0,Placed
3,96,6,6,2,74.0,74.3,Placed
11,65,7,9,7,50.0,100.0,Placed
1,82,6,3,0,64.0,63.25,Not Placed
8,87,7,7,4,83.0,100.0,Placed
6,83,9,7,18,68.0,100.0,Placed
7,84,7,1,12,64.0,100.0,Placed
9,66,8,11,10,55.0,100.0,Placed
5,55,5,2,10,56.0,74.45,Placed
1,94,9,5,1,81.0,76.22,Placed
10,65,7,8,8,59.0,100.0,Placed
7,92,4,6,1,56.0,88.74,Placed
5,72,9,7,20,90.0,100.0,Placed
3,70,4,3,18,62.0,88.86,Placed
9,87,5,6,11,73.0,100.0,Placed
1,86,7,9,8,67.0,95.11,Placed
1,45,9,3,8,36.0,64.92,Not Placed
1,83,9,6,9,38.0,79.21,Placed
3,47,5,7,4,50.0,49.81,Not Placed
6,46,8,5,8,46.0,70.7,Placed
10,73,4,10,17,51.0,99.56,Placed
11,83,9,8,9,90.0,100.0,Placed
3,92,6,8,16,70.0,100.0,Placed
8,53,4,6,9,50.0,67.98,Not Placed
10,55,7,7,13,73.0,100.0,Placed
2,82,5,3,3,57.0,75.16,Placed
9,91,4,7,9,42.0,100.0,Placed
3,48,6,7,17,91.0,100.0,Placed
5,49,6,4,4,43.0,61.04,Not Placed
10,56,5,10,8,48.0,84.72,Placed
8,51,5,4,5,89.0,100.0,Placed
2,45,4,3,15,43.0,63.1,Not Placed
6,58,7,10,15,81.0,100.0,Placed
5,82,8,7,10,87.0,95.36,Placed
10,80,6,5,20,60.0,100.0,Placed
9,92,5,3,14,70.0,100.0,Placed
5,68,8,6,18,37.0,86.95,Placed
2,45,8,6,2,88.0,60.24,Not Placed
5,98,8,6,15,44.0,91.65,Placed
4,64,7,2,20,93.0,100.0,Placed
11,96,5,11,19,59.0,100.0,Placed
7,63,6,10,4,38.0,62.12,Not Placed
6,64,5,7,8,64.0,81.98,Placed
2,55,4,7,4,84.0,75.85,Placed
11,91,6,10,3,45.0,92.6,Placed
11,55,5,4,12,85.0,100.0,Placed
5,45,6,11,19,53.0,81.49,Placed
7,76,4,6,16,84.0,100.0,Placed
11,60,9,4,19,47.0,100.0,Placed
7,43,6,4,11,91.0,100.0,Placed
5,73,9,6,19,70.0,100.0,Placed
9,67,8,9,19,37.0,99.17,Placed
4,77,7,7,6,82.0,83.07,Placed
11,80,4,2,0,48.0,100.0,Placed
3,67,6,6,15,44.0,70.43,Placed
4,56,4,5,6,72.0,76.8,Placed
5,53,8,6,1,74.0,80.58,Placed
6,46,9,8,11,61.0,76.35,Placed
3,61,7,8,10,58.0,58.43,Not Placed
2,90,4,3,7,50.0,66.67,Not Placed
4,40,9,9,0,44.0,60.86,Not Placed
5,68,8,6,2,88.0,72.69,Placed
4,91,8,7,7,87.0,87.48,Placed
11,70,8,9,7,61.0,100.0,Placed
3,69,9,7,10,41.0,63.01,Not Placed
8,96,6,10,20,85.0,100.0,Placed
10,54,5,9,4,62.0,100.0,Placed
4,57,4,1,7,60.0,66.25,Not Placed
2,74,5,1,20,52.0,100.0,Placed
2,89,8,3,8,47.0,81.18,Placed
1,69,5,9,16,42.0,56.78,Not Placed
4,73,9,1,4,61.0,100.0,Placed
10,81,8,1,18,94.0,100.0,Placed
9,50,8,5,18,48.0,100.0,Placed
11,66,7,8,1,75.0,100.0,Placed
7,63,7,2,18,78.0,100.0,Placed
10,74,9,4,14,40.0,100.0,Placed
7,78,9,6,7,54.0,83.15,Placed
7,47,5,1,7,88.0,91.95,Placed
8,90,4,4,0,62.0,86.19,Placed
1,57,5,4,13,57.0,70.72,Placed
10,52,9,9,10,46.0,74.91,Placed
10,84,4,9,6,58.0,100.0,Placed
8,63,5,6,17,85.0,100.0,Placed
4,90,6,8,14,78.0,100.0,Placed
4,62,6,10,9,56.0,90.99,Placed
4,51,4,4,3,60.0,79.21,Placed
6,88,7,10,20,56.0,100.0,Placed
7,69,4,8,0,92.0,78.2,Placed
6,70,5,3,13,41.0,93.53,Placed
1,67,8,2,19,49.0,100.0,Placed
8,61,6,6,19,82.0,100.0,Placed
10,83,8,5,8,64.0,100.0,Placed
11,67,6,8,12,38.0,100.0,Placed
7,52,5,1,16,40.0,100.0,Placed
6,64,6,11,19,82.0,87.35,Placed
6,83,4,10,3,81.0,69.85,Not Placed
5,90,8,3,4,36.0,99.63,Placed
6,85,9,7,17,65.0,100.0,Placed
9,46,8,10,16,58.0,100.0,Placed
10,84,5,4,20,69.0,100.0,Placed
9,45,9,10,6,81.0,100.0,Placed
10,63,8,5,9,65.0,100.0,Placed
8,58,5,8,8,59.0,81.27,Placed
10,58,7,1,12,42.0,94.95,Placed
9,75,4,1,17,46.0,88.56,Placed
10,90,6,7,11,88.0,100.0,Placed
8,48,6,9,7,92.0,86.24,Placed
8,87,6,4,17,36.0,100.0,Placed
1,98,7,8,4,49.0,57.33,Not Placed
10,75,4,10,6,74.0,83.63,Placed
11,77,8,7,14,93.0,100.0,Placed
5,79,8,2,2,66.0,91.93,Placed
4,98,4,5,17,88.0,100.0,Placed
2,68,9,9,5,45.0,60.01,Not Placed
8,63,4,9,5,51.0,82.01,Placed
3,87,6,3,19,88.0,100.0,Placed
4,44,8,11,0,95.0,74.02,Placed
7,92,4,3,20,55.0,100.0,Placed
10,93,8,2,16,56.0,100.0,Placed
9,81,4,7,10,95.0,100.0,Placed
2,94,5,6,1,67.0,34.15,Not Placed
3,84,6,5,8,86.0,80.17,Placed
4,100,4,7,18,89.0,97.55,Placed
10,65,7,4,5,63.0,90.48,Placed
1,53,4,5,6,49.0,46.68,Not Placed
7,78,5,9,3,55.0,74.34,Placed
2,68,7,11,2,88.0,56.75,Not Placed
5,91,7,9,1,36.0,78.99,Placed
1,45,4,4,9,90.0,76.19,Placed
3,46,5,6,9,76.0,74.56,Placed
2,76,7,2,16,86.0,100.0,Placed
1,92,6,3,15,72.0,74.11,Placed
7,57,9,9,0,37.0,49.62,Not Placed
5,62,6,6,11,59.0,95.68,Placed
1,83,8,8,19,47.0,100.0,Placed
6,77,8,11,19,58.0,100.0,Placed
5,98,5,5,9,65.0,100.0,Placed
3,40,7,2,0,49.0,55.21,Not Placed
7,43,6,7,15,40.0,75.91,Placed
11,90,6,6,10,75.0,100.0,Placed
10,83,9,11,3,44.0,70.29,Placed
9,86,5,2,2,43.0,83.73,Placed
9,74,7,6,12,84.0,100.0,Placed
9,62,5,8,20,75.0,100.0,Placed
2,66,4,1,14,90.0,86.62,Placed
3,99,6,4,9,84.0,98.9,Placed
7,65,5,1,5,75.0,100.0,Placed
5,91,5,2,10,39.0,95.92,Placed
2,99,9,1,0,79.0,70.16,Placed
3,47,4,6,19,78.0,100.0,Placed
10,82,8,11,3,75.0,100.0,Placed
6,55,6,6,9,53.0,80.4,Placed
7,80,9,1,14,54.0,100.0,Placed
9,42,5,4,0,67.0,71.39,Placed
1,71,6,4,20,77.0,100.0,Placed
11,44,8,8,14,71.0,93.65,Placed
7,59,5,6,2,65.0,74.43,Placed
8,53,4,2,0,73.0,96.34,Placed
3,99,6,5,5,47.0,69.42,Not Placed
4,71,9,4,18,89.0,100.0,Placed
10,65,4,10,3,72.0,82.76,Placed
6,86,8,4,11,79.0,100.0,Placed
10,45,8,8,1,40.0,67.28,Not Placed
7,98,6,5,16,81.0,100.0,Placed
4,97,8,3,5,42.0,69.81,Not Placed
8,75,7,10,11,77.0,100.0,Placed
5,79,9,4,14,44.0,100.0,Placed
1,90,6,1,16,75.0,88.44,Placed
4,98,7,6,0,38.0,52.84,Not Placed
3,44,8,11,13,48.0,60.92,Not Placed
9,52,6,10,1,38.0,64.34,Not Placed
8,71,7,4,3,58.0,99.39,Placed
1,55,8,6,19,81.0,88.72,Placed
11,40,5,2,1,55.0,87.13,Placed
6,52,5,5,13,44.0,66.65,Not Placed
9,93,4,11,17,80.0,100.0,Placed
7,50,5,9,7,59.0,90.66,Placed
4,92,7,8,19,40.0,100.0,Placed
1,47,9,3,0,50.0,47.47,Not Placed
2,64,5,1,15,91.0,100.0,Placed
5,79,6,10,6,78.0,82.5,Placed
11,71,6,3,5,62.0,100.0,Placed
5,63,6,8,18,70.0,93.35,Placed
8,67,5,11,9,67.0,79.53,Placed
6,53,5,3,5,64.0,69.22,Not Placed
8,84,4,5,9,70.0,100.0,Placed
2,42,9,2,18,59.0,60.33,Not Placed
3,75,9,1,2,47.0,83.74,Placed
6,66,8,11,19,73.0,100.0,Placed
10,59,4,10,2,49.0,69.88,Not Placed
3,86,7,5,19,72.0,100.0,Placed
6,54,6,5,5,64.0,51.63,Not Placed
6,66,5,6,16,48.0,94.42,Placed
2,92,8,2,17,84.0,100.0,Placed
7,84,8,9,9,38.0,73.38,Placed
2,80,5,2,5,35.0,56.55,Not Placed
6,67,4,2,12,95.0,100.0,Placed
1,64,8,5,5,37.0,39.79,Not Placed
3,81,9,9,11,79.0,94.06,Placed
2,100,4,4,13,84.0,100.0,Placed
7,83,5,6,16,95.0,100.0,Placed
4,85,4,2,7,70.0,88.54,Placed
8,72,9,4,4,38.0,75.96,Placed
6,85,6,9,3,77.0,99.3,Placed
10,53,5,2,5,48.0,62.94,Not Placed
4,47,9,1,10,59.0,85.13,Placed
5,87,5,4,4,73.0,95.66,Placed
9,53,9,4,13,95.0,97.6,Placed
7,40,9,1,9,37.0,64.96,Not Placed
10,55,8,4,10,41.0,84.33,Placed
9,57,8,3,2,42.0,99.03,Placed
7,46,8,2,7,78.0,90.74,Placed
1,54,6,10,20,41.0,75.57,Placed
8,63,6,4,4,90.0,100.0,Placed
4,88,9,8,19,82.0,95.49,Placed
3,90,7,7,20,59.0,94.31,Placed
7,94,5,9,9,51.0,87.02,Placed
3,52,8,8,7,60.0,73.61,Placed
8,48,5,1,20,88.0,100.0,Placed
6,95,9,2,8,38.0,94.64,Placed
5,95,4,2,14,83.0,100.0,Placed
4,54,9,8,0,52.0,72.9,Placed
8,96,6,4,4,92.0,96.32,Placed
8,97,7,9,14,38.0,96.01,Placed
1,74,4,2,3,51.0,57.02,Not Placed
9,63,5,4,18,81.0,100.0,Placed
5,72,6,1,9,88.0,100.0,Placed
4,55,8,3,1,51.0,70.53,Placed
6,47,4,6,4,79.0,82.46,Placed
6,68,6,9,17,59.0,100.0,Placed
2,62,5,11,5,92.0,64.87,Not Placed
8,84,9,1,9,37.0,98.93,Placed
7,70,5,5,14,46.0,100.0,Placed
1,79,4,2,8,61.0,64.74,Not Placed
5,88,4,7,12,51.0,91.8,Placed
6,93,9,4,17,88.0,100.0,Placed
4,94,4,5,6,56.0,80.95,Placed
2,53,7,8,1,73.0,63.07,Not Placed
4,98,8,2,15,73.0,100.0,Placed
1,92,6,3,1,92.0,94.2,Placed
7,69,9,11,3,77.0,78.81,Placed
2,92,5,5,1,82.0,75.39,Placed
2,78,5,10,16,70.0,88.02,Placed
9,66,8,4,5,50.0,100.0,Placed
5,86,4,5,9,71.0,86.61,Placed
2,55,4,3,13,85.0,86.25,Placed
11,90,5,9,14,88.0,100.0,Placed
9,45,8,8,20,63.0,100.0,Placed
9,94,5,6,11,48.0,100.0,Placed
1,72,4,1,18,41.0,75.16,Placed
11,83,9,4,10,75.0,100.0,Placed
3,57,6,7,0,91.0,64.11,Not Placed
4,55,4,10,7,62.0,56.21,Not Placed
7,51,9,5,5,47.0,68.34,Not Placed
10,59,6,4,11,50.0,100.0,Placed
4,84,7,9,19,55.0,87.55,Placed
2,79,8,8,15,38.0,72.84,Placed
7,98,9,3,17,73.0,100.0,Placed
6,68,7,6,11,69.0,92.65,Placed
3,69,4,4,19,86.0,100.0,Placed
6,65,8,7,1,49.0,76.05,Placed
11,61,9,1,6,91.0,100.0,Placed
6,72,4,1,8,87.0,89.0,Placed
5,97,8,6,17,60.0,100.0,Placed
4,92,8,10,8,80.0,87.58,Placed
10,78,4,11,7,41.0,96.94,Placed
1,86,4,7,0,52.0,69.89,Not Placed
10,68,9,9,4,59.0,100.0,Placed
6,61,8,7,15,71.0,93.39,Placed
2,84,9,9,13,55.0,82.45,Placed
3,52,8,10,12,86.0,81.73,Placed
8,99,9,9,10,42.0,94.81,Placed
10,48,4,8,19,93.0,100.0,Placed
6,63,4,7,12,54.0,80.78,Placed
3,54,5,3,14,52.0,94.77,Placed
7,75,9,11,15,87.0,100.0,Placed
4,52,5,3,12,53.0,85.46,Placed
9,66,5,11,7,86.0,100.0,Placed
5,83,7,5,17,37.0,100.0,Placed
3,76,8,7,18,89.0,100.0,Placed
2,46,6,10,14,72.0,67.88,Not Placed
11,47,7,7,9,52.0,100.0,Placed
2,76,8,1,3,61.0,94.12,Placed
3,80,6,8,5,49.0,58.29,Not Placed
2,53,5,1,7,80.0,71.8,Placed
4,97,6,11,6,90.0,84.75,Placed
2,51,4,4,11,55.0,86.56,Placed
10,75,4,2,17,56.0,100.0,Placed
9,91,9,5,17,42.0,100.0,Placed
2,100,8,6,18,45.0,96.72,Placed
9,79,7,4,3,77.0,98.71,Placed
6,56,5,4,0,46.0,54.49,Not Placed
1,79,8,7,4,82.0,65.9,Not Placed
4,92,5,11,6,73.0,76.1,Placed
1,68,4,4,10,61.0,61.65,Not Placed
6,66,7,2,20,69.0,100.0,Placed
4,40,7,4,20,36.0,76.34,Placed
3,91,4,7,10,69.0,76.14,Placed
3,73,6,1,9,65.0,88.14,Placed
9,43,7,4,6,42.0,86.8,Placed
6,63,6,6,15,54.0,59.93,Not Placed
9,60,5,8,0,42.0,62.51,Not Placed
5,72,7,8,0,38.0,56.15,Not Placed
2,46,9,9,11,65.0,61.39,Not Placed
8,40,4,5,15,89.0,100.0,Placed
5,80,6,2,4,66.0,71.04,Placed
2,42,9,3,13,47.0,83.81,Placed
4,83,5,2,17,56.0,75.25,Placed
9,90,5,9,8,60.0,99.01,Placed
4,54,7,6,1,51.0,76.54,Placed
4,70,7,11,11,63.0,73.55,Placed
2,93,9,1,9,61.0,90.83,Placed
6,55,8,3,1,90.0,100.0,Placed
11,49,8,7,14,56.0,100.0,Placed
2,93,7,7,3,52.0,69.82,Not Placed
7,68,8,5,18,39.0,99.18,Placed
3,98,4,3,3,46.0,66.78,Not Placed
3,98,9,7,8,36.0,63.5,Not Placed
5,45,4,5,12,76.0,73.65,Placed
3,68,8,6,9,41.0,71.46,Placed
2,56,7,3,13,81.0,89.83,Placed
10,92,4,6,2,93.0,100.0,Placed
9,99,5,7,2,60.0,100.0,Placed
2,61,7,8,19,88.0,90.91,Placed
11,63,9,2,15,73.0,100.0,Placed
2,100,6,2,8,49.0,61.56,Not Placed
8,56,6,6,13,82.0,100.0,Placed
9,60,7,8,15,88.0,100.0,Placed
7,90,8,5,8,92.0,100.0,Placed
3,89,4,1,4,67.0,77.64,Placed
9,50,4,11,12,81.0,100.0,Placed
3,95,7,1,14,37.0,86.41,Placed
5,46,5,10,3,76.0,70.66,Placed
9,81,9,9,13,82.0,100.0,Placed
3,78,8,4,19,36.0,78.21,Placed
7,44,5,10,19,51.0,100.0,Placed
1,83,7,1,6,35.0,62.85,Not Placed
4,87,7,11,3,70.0,79.82,Placed
4,100,5,8,16,77.0,93.35,Placed
7,96,6,2,8,51.0,87.54,Placed
8,60,7,2,3,36.0,75.05,Placed
1,57,9,1,2,67.0,71.95,Placed
5,74,8,1,18,63.0,88.57,Placed
7,59,5,9,8,94.0,96.57,Placed
4,54,6,1,7,94.0,97.91,Placed
4,44,5,6,6,40.0,48.18,Not Placed
4,52,6,7,6,77.0,77.41,Placed
6,90,6,4,3,70.0,92.34,Placed
7,51,9,5,18,58.0,96.83,Placed
2,94,8,4,11,45.0,80.43,Placed
5,60,7,4,19,39.0,91.16,Placed
4,76,6,10,5,64.0,63.19,Not Placed
3,45,7,1,11,44.0,68.92,Not Placed
7,46,8,6,19,71.0,100.0,Placed
11,65,7,10,3,61.0,97.27,Placed
6,81,9,10,1,61.0,99.1,Placed
7,87,9,7,14,58.0,98.22,Placed
5,47,4,7,5,93.0,91.93,Placed
6,48,9,8,17,92.0,100.0,Placed
5,66,6,7,20,88.0,100.0,Placed
7,43,8,6,4,88.0,100.0,Placed
2,60,9,8,3,37.0,58.1,Not Placed
11,70,5,3,10,95.0,100.0,Placed
5,60,8,9,10,72.0,97.86,Placed
6,79,6,3,8,60.0,95.33,Placed
6,64,8,4,2,79.0,83.44,Placed
5,78,9,10,10,82.0,95.89,Placed
10,54,5,6,1,73.0,93.97,Placed
7,92,4,8,8,52.0,92.66,Placed
10,74,6,3,9,37.0,100.0,Placed
8,88,6,10,10,72.0,95.05,Placed
7,82,8,6,2,76.0,94.68,Placed
5,80,7,5,16,82.0,100.0,Placed
1,76,7,5,10,59.0,81.06,Placed
5,96,5,5,16,47.0,93.16,Placed
10,81,4,9,18,59.0,100.0,Placed
2,86,4,7,3,58.0,55.96,Not Placed
5,67,8,9,1,90.0,83.66,Placed
5,100,8,9,13,75.0,100.0,Placed
2,53,7,6,14,93.0,76.76,Placed
5,43,9,6,2,50.0,77.61,Placed
4,92,4,4,19,77.0,100.0,Placed
1,59,9,8,12,75.0,65.41,Not Placed
3,73,4,2,12,76.0,79.71,Placed
1,51,9,5,17,45.0,68.85,Not Placed
11,72,9,1,19,95.0,100.0,Placed
5,63,4,10,20,91.0,100.0,Placed
4,59,5,2,6,55.0,74.47,Placed
7,44,5,1,15,65.0,82.68,Placed
5,77,8,6,15,88.0,100.0,Placed
10,69,9,2,5,49.0,100.0,Placed
4,63,9,4,5,87.0,86.95,Placed
2,82,9,5,3,79.0,93.92,Placed
4,79,9,7,2,83.0,83.5,Placed
2,46,9,10,0,70.0,67.61,Not Placed
8,75,7,1,2,77.0,97.42,Placed
3,77,6,11,18,95.0,90.34,Placed
9,55,9,5,8,35.0,78.04,Placed
4,91,7,4,13,62.0,96.0,Placed
6,54,5,7,18,67.0,96.04,Placed
10,85,9,10,18,37.0,100.0,Placed
5,62,5,7,12,89.0,84.71,Placed
10,51,8,8,15,49.0,100.0,Placed
1,68,6,4,7,67.0,76.32,Placed
9,83,4,4,15,66.0,100.0,Placed
1,87,6,10,8,57.0,48.73,Not Placed
8,54,9,5,8,92.0,100.0,Placed
9,68,9,5,2,60.0,87.53,Placed
9,84,6,11,6,95.0,93.85,Placed
1,82,6,3,19,82.0,100.0,Placed
2,88,8,5,17,51.0,71.7,Placed
1,60,5,5,1,43.0,55.53,Not Placed
10,54,4,8,0,39.0,71.92,Placed
2,53,6,7,11,63.0,62.16,Not Placed
10,81,4,8,15,40.0,100.0,Placed
8,83,6,5,11,81.0,100.0,Placed
5,55,5,11,20,94.0,100.0,Placed
11,54,4,2,9,75.0,100.0,Placed
7,81,7,8,8,93.0,99.59,Placed
2,43,5,9,20,69.0,67.15,Not Placed
8,66,4,2,17,85.0,100.0,Placed
11,62,6,1,3,55.0,86.38,Placed
6,68,6,6,7,79.0,87.0,Placed
8,80,5,3,20,79.0,100.0,Placed
1,92,5,1,3,57.0,64.58,Not Placed
1,91,6,6,15,69.0,77.23,Placed
7,48,4,8,20,86.0,100.0,Placed
8,92,7,9,20,80.0,100.0,Placed
3,96,8,6,7,36.0,67.08,Not Placed
5,95,5,6,6,91.0,100.0,Placed
1,91,6,1,12,76.0,72.41,Placed
7,82,4,5,7,43.0,79.0,Placed
5,82,5,3,6,47.0,70.55,Placed
8,46,4,7,4,77.0,82.78,Placed
8,92,5,9,17,68.0,100.0,Placed
9,81,6,11,18,50.0,100.0,Placed
7,43,4,6,9,39.0,67.26,Not Placed
11,44,6,5,10,35.0,100.0,Placed
1,44,4,7,7,74.0,35.98,Not Placed
3,50,5,11,5,56.0,54.1,Not Placed
8,80,8,9,10,82.0,100.0,Placed
3,67,8,5,15,80.0,87.25,Placed
8,55,7,5,3,92.0,97.81,Placed
1,80,7,10,1,60.0,60.32,Not Placed
5,93,9,4,12,68.0,100.0,Placed
4,69,6,5,6,84.0,82.45,Placed
5,43,4,7,16,92.0,88.91,Placed
8,41,7,3,12,55.0,88.69,Placed
10,85,5,4,9,41.0,100.0,Placed
4,42,8,9,12,59.0,66.04,Not Placed
11,89,4,2,9,91.0,100.0,Placed
4,60,9,8,6,46.0,53.57,Not Placed
3,45,8,9,9,65.0,69.55,Not Placed
7,82,4,5,15,81.0,95.7,Placed
3,92,7,7,2,61.0,72.12,Placed
3,57,7,6,3,56.0,70.88,Placed
11,83,6,1,3,68.0,100.0,Placed
10,44,9,8,3,88.0,95.27,Placed
5,48,4,9,15,51.0,81.67,Placed
5,59,9,10,8,93.0,65.54,Not Placed
6,67,5,11,5,45.0,65.73,Not Placed
8,65,9,1,9,63.0,98.68,Placed
10,57,7,8,3,68.0,98.14,Placed
6,58,6,3,11,94.0,78.59,Placed
1,42,7,6,9,85.0,66.25,Not Placed
8,48,8,10,11,71.0,88.87,Placed
8,75,7,8,18,92.0,100.0,Placed
9,70,4,5,18,83.0,100.0,Placed
9,88,6,8,0,82.0,95.38,Placed
2,56,4,7,3,94.0,67.21,Not Placed
2,94,5,7,12,60.0,79.56,Placed
3,62,5,7,7,79.0,73.86,Placed
1,73,7,9,13,79.0,80.82,Placed
4,80,6,6,15,79.0,98.89,Placed
4,80,9,6,1,66.0,100.0,Placed
9,44,6,11,7,71.0,68.97,Not Placed
9,54,6,9,12,39.0,79.09,Placed
9,86,6,6,0,54.0,87.73,Placed
10,42,7,7,11,85.0,100.0,Placed
7,58,4,7,16,41.0,94.94,Placed
2,67,7,2,6,77.0,89.88,Placed
10,42,9,8,15,57.0,100.0,Placed
5,77,4,11,13,35.0,83.81,Placed
4,43,9,6,9,73.0,76.41,Placed
11,63,8,4,2,37.0,100.0,Placed
8,70,8,11,11,79.0,100.0,Placed
2,84,4,7,7,37.0,60.17,Not Placed
6,98,7,8,15,40.0,83.09,Placed
5,84,9,1,0,65.0,70.3,Placed
2,98,9,10,16,88.0,99.69,Placed
11,50,5,4,5,61.0,95.17,Placed
10,76,9,4,0,63.0,89.99,Placed
1,40,7,10,14,49.0,67.86,Not Placed
8,48,5,9,12,70.0,83.37,Placed
2,56,7,6,5,39.0,60.46,Not Placed
7,93,6,4,20,37.0,100.0,Placed
9,40,9,1,12,85.0,100.0,Placed
9,42,6,8,3,59.0,67.12,Not Placed
8,86,8,11,0,66.0,70.95,Placed
11,65,8,9,9,55.0,100.0,Placed
10,92,4,5,3,82.0,100.0,Placed
9,70,9,5,12,51.0,100.0,Placed
2,65,5,10,3,43.0,38.37,Not Placed
6,62,6,8,15,60.0,98.26,Placed
4,69,7,8,8,56.0,81.18,Placed
4,49,9,5,3,75.0,65.78,Not Placed
5,47,4,4,19,80.0,100.0,Placed
3,83,7,6,7,93.0,92.83,Placed
1,64,6,10,3,57.0,51.55,Not Placed
8,61,9,5,8,45.0,78.47,Placed
5,54,6,8,10,92.0,98.63,Placed
3,98,9,9,4,44.0,66.77,Not Placed
10,80,9,1,8,57.0,100.0,Placed
7,95,6,9,7,39.0,88.35,Placed
7,96,6,9,3,89.0,95.92,Placed
1,49,7,6,19,60.0,63.64,Not Placed
9,59,4,11,0,38.0,78.99,Placed
2,80,6,10,19,77.0,93.58,Placed
5,86,8,5,12,61.0,98.0,Placed
5,62,4,7,4,72.0,72.69,Placed
8,92,8,11,19,68.0,100.0,Placed
8,92,7,8,20,92.0,100.0,Placed
7,40,6,9,9,37.0,80.91,Placed
7,41,4,9,15,84.0,100.0,Placed
11,97,6,10,7,66.0,100.0,Placed
6,58,9,11,11,95.0,100.0,Placed
6,53,6,3,2,60.0,81.57,Placed
11,47,4,8,3,52.0,88.69,Placed
9,77,6,1,16,41.0,100.0,Placed
6,51,6,7,20,87.0,100.0,Placed
2,65,5,5,19,79.0,95.77,Placed
2,66,5,2,12,47.0,65.85,Not Placed
5,68,4,2,5,40.0,72.53,Placed
4,54,4,8,2,69.0,50.74,Not Placed
11,85,9,5,13,65.0,100.0,Placed
2,92,9,11,6,76.0,82.99,Placed
3,100,6,3,2,87.0,73.88,Placed
7,40,8,1,5,71.0,86.01,Placed
8,99,4,11,12,77.0,97.89,Placed
6,82,6,7,13,38.0,93.93,Placed
11,67,8,11,14,76.0,100.0,Placed
5,96,5,3,15,38.0,78.67,Placed
1,42,9,7,0,94.0,68.26,Not Placed
8,90,4,2,14,79.0,100.0,Placed
3,57,6,4,6,42.0,63.35,Not Placed
6,91,5,2,8,72.0,88.68,Placed
3,99,7,4,14,45.0,95.78,Placed
7,73,5,5,13,36.0,86.67,Placed
7,71,6,8,18,52.0,97.77,Placed
9,68,9,2,17,52.0,100.0,Placed
5,64,8,10,8,56.0,65.38,Not Placed
8,99,7,3,0,46.0,100.0,Placed
10,65,7,10,11,51.0,86.87,Placed
10,78,9,5,9,85.0,100.0,Placed
8,47,7,11,6,51.0,72.45,Placed
1,58,4,9,13,70.0,64.2,Not Placed
5,93,6,10,0,63.0,63.93,Not Placed
3,86,7,11,14,83.0,84.58,Placed
1,81,5,5,0,50.0,51.11,Not Placed
4,61,8,9,12,75.0,91.14,Placed
8,68,6,4,19,45.0,92.1,Placed
3,72,9,10,1,78.0,68.34,Not Placed
10,77,5,5,2,77.0,100.0,Placed
2,84,4,9,3,79.0,64.11,Not Placed
11,85,7,4,15,56.0,100.0,Placed
9,74,5,5,11,64.0,94.05,Placed
10,82,6,5,3,42.0,100.0,Placed
5,42,5,4,11,80.0,62.93,Not Placed
7,58,4,4,6,52.0,88.65,Placed
11,49,8,11,19,80.0,100.0,Placed
11,66,7,5,2,50.0,97.2,Placed
2,54,6,6,4,81.0,68.18,Not Placed
9,50,7,7,11,88.0,97.91,Placed
9,86,7,6,11,54.0,100.0,Placed
4,65,9,1,19,73.0,100.0,Placed
4,98,7,2,6,42.0,83.08,Placed
6,63,5,7,11,64.0,99.42,Placed
10,52,5,3,1,72.0,100.0,Placed
10,71,8,10,13,63.0,100.0,Placed
10,76,4,11,15,47.0,100.0,Placed
6,43,6,2,6,51.0,86.09,Placed
1,52,5,6,3,74.0,52.17,Not Placed
9,48,7,11,19,77.0,100.0,Placed
2,96,4,4,4,51.0,90.2,Placed
5,88,6,11,13,43.0,70.5,Placed
9,73,6,5,8,36.0,95.09,Placed
4,95,6,6,4,93.0,82.42,Placed
11,76,6,3,1,76.0,100.0,Placed
3,87,8,1,4,88.0,89.34,Placed
7,46,6,3,2,58.0,80.83,Placed
6,40,4,3,9,55.0,96.16,Placed
8,99,5,6,7,80.0,100.0,Placed
3,97,4,4,9,36.0,82.29,Placed
5,51,7,7,1,39.0,48.98,Not Placed
10,60,9,11,13,51.0,98.31,Placed
4,50,8,2,3,58.0,85.43,Placed
4,83,8,4,20,42.0,100.0,Placed
4,90,7,8,11,64.0,85.38,Placed
10,97,4,11,19,84.0,100.0,Placed
8,83,4,6,13,56.0,100.0,Placed
6,83,7,10,15,93.0,100.0,Placed
